model_name,oligo_gdtha
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_3.pdb,0.009
afm_woTemplates_model_5_multimer_v1_pred_4.pdb,0.009
afm_woTemplates_model_5_multimer_v1_pred_3.pdb,0.009
cf_woTemplates_model_5_multimer_v1_pred_1.pdb,0.009
cf_woTemplates_model_5_multimer_v1_pred_2.pdb,0.009
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_2.pdb,0.008
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.008
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_4.pdb,0.008
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_0.pdb,0.008
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_4.pdb,0.007
afm_basic_model_5_multimer_v1_pred_4.pdb,0.007
afm_basic_model_5_multimer_v1_pred_2.pdb,0.007
afm_basic_model_5_multimer_v1_pred_3.pdb,0.006
afm_basic_model_5_multimer_v1_pred_0.pdb,0.006
afm_basic_model_5_multimer_v1_pred_1.pdb,0.006
